Тип жесткости;Имя;Параметры
1;  Брус 40 X 40;Ro=2.5,E=1.8e+006,GF=0
1; ;B=40,H=40
2;  Брус 40 X 60;Ro=2.5,E=1.8e+006,GF=0
2; ;B=40,H=60
3;  Брус 40 X 50;Ro=2.5,E=1.8e+006,GF=0
3; ;B=40,H=50
4;  Пластина  H 30;E=1.8e+006,V=0.2,H=30,Ro=2.5
5;  Пластина  H 20;E=1.8e+006,V=0.2,H=20,Ro=2.5
6;  Пластина  H 40;E=1.8e+006,V=0.2,H=40,Ro=2.5
7;"  Профиль ""Молодечно"" 180 х 140 х 5";q=0.02383
7; ;EF=63774.7,EIy=300
7; ;EIz=204,GIk=143
7; ;Y1=4.58,Y2=4.58,Z1=5.23,Z2=5.23,RU_Y=0,RU_Z=0
8;"  Профиль ""Молодечно"" 200 x 6";q=0.03582
8; ;EF=95851.1,EIy=595
8; ;EIz=595,GIk=355
8; ;Y1=6.21,Y2=6.21,Z1=6.21,Z2=6.21,RU_Y=0,RU_Z=0
9;"  Профиль ""Молодечно"" 160 х 120 х 5";q=0.02069
9; ;EF=55372.2,EIy=202
9; ;EIz=130,GIk=93.6
9; ;Y1=3.9,Y2=3.9,Z1=4.56,Z2=4.56,RU_Y=0,RU_Z=0
10;"  Профиль ""Молодечно"" 120 x 5";q=0.01755
10; ;EF=46969.8,EIy=102
10; ;EIz=102,GIk=62.1
10; ;Y1=3.62,Y2=3.62,Z1=3.62,Z2=3.62,RU_Y=0,RU_Z=0
11;"  Профиль ""Молодечно"" 100 x 4";q=0.01173
11; ;EF=31404.2,EIy=47.3
11; ;EIz=47.3,GIk=28.9
11; ;Y1=3.01,Y2=3.01,Z1=3.01,Z2=3.01,RU_Y=0,RU_Z=0
12;"  Профиль ""Молодечно"" 80 x 3";q=0.00707
12; ;EF=18926.5,EIy=18.4
12; ;EIz=18.4,GIk=11.2
12; ;Y1=2.44,Y2=2.44,Z1=2.44,Z2=2.44,RU_Y=0,RU_Z=0
13;  Двутавр 25Б1;q=0.02564
13; ;EF=68648.1,EIy=743
13; ;EIz=53.5,GIk=0.533
13; ;Y1=1.26,Y2=1.26,Z1=8.73,Z2=8.73,RU_Y=0,RU_Z=0
14;"  Профиль ""Молодечно"" 140 x 5";q=0.02069
14; ;EF=55372.2,EIy=166
14; ;EIz=166,GIk=100
14; ;Y1=4.28,Y2=4.28,Z1=4.28,Z2=4.28,RU_Y=0,RU_Z=0
15;"  Профиль ""Молодечно"" 120 x 4";q=0.01425
15; ;EF=38126.2,EIy=84.5
15; ;EIz=84.5,GIk=50.8
15; ;Y1=3.69,Y2=3.69,Z1=3.69,Z2=3.69,RU_Y=0,RU_Z=0
16;"  Профиль ""Молодечно"" 100 x 3";q=0.00896
16; ;EF=23968,EIy=37.2
16; ;EIz=37.2,GIk=22.2
16; ;Y1=3.1,Y2=3.1,Z1=3.1,Z2=3.1,RU_Y=0,RU_Z=0
17;  Швеллер 20;q=0.0184
17; ;EF=49154.4,EIy=319
17; ;EIz=23.7,GIk=0.39
17; ;Y1=0.873,Y2=2.33,Z1=6.5,Z2=6.5,RU_Y=0,RU_Z=0
18;  Пластина  H 30;E=900000,V=0.2,H=30,Ro=2.5
19;  Пластина  H 20;E=900000,V=0.2,H=20,Ro=2.5
20;  Пластина  H 40;E=900000,V=0.2,H=40,Ro=2.5
